iso3,year,population_total,gdp_current_usd,gdp_real_growth_pct,life_expectancy_years,maternal_mortality_ratio,population_growth_pct,gdp_per_capita_usd,dev_index,decade
BEN,1981,4038307,1291120188.43104,9.95423116708119,48.122,,2.8802234557739004,319.71818597026925,0.6521773945293189,1980
BEN,1982,4156596,1267778670.35902,2.23506634402393,48.493,,2.9291730420693662,305.0040635074999,0.6506976549109315,1980
BEN,1983,4278978,1095348199.43911,-4.34782273516674,48.845,,2.9442842171815586,255.9836015607255,0.6409193250929127,1980
BEN,1984,4405895,1051134008.78979,7.92983956551727,49.399,,2.9660587177592346,238.57445735538184,0.6397995738909993,1980
BEN,1985,4538012,1045712789.14884,7.53032483806271,49.959,910.0,2.998641592684348,230.43411721891434,0.30759333571376896,1980
BEN,1986,4675420,1336102025.27763,2.17114159792595,50.632,858.0,3.0279338177157777,285.77155106442416,0.34355007201420834,1980
BEN,1987,4818486,1562412227.90058,-1.50000295231442,51.258,817.0,3.059960388585403,324.2537651661912,0.3711936971725221,1980
BEN,1988,4967341,1620246083.79478,3.40524529583226,52.019,765.0,3.0892483655654557,326.17975770030284,0.3948752909572614,1980
BEN,1989,5121657,1502294416.17129,-2.85416049622336,52.45,732.0,3.106611766737988,293.3219495509539,0.4014787683615606,1980
BEN,1990,5281479,1959965330.14765,8.9761343599898,53.02,692.0,3.120513536927594,371.10160433235654,0.43783549282187756,1990
BEN,1991,5446932,1986437796.53053,4.22579942071668,53.441,666.0,3.1327020328964617,364.6892960166439,0.44813676608170433,1990
BEN,1992,5617844,1695315305.70308,2.95771082720395,54.137,625.0,3.137766360953287,301.77329696287046,0.45194444852399424,1990
BEN,1993,5872706,2274558082.76135,5.83617208501383,54.612,591.0,4.536651427131111,387.31005481312195,0.48743516874705595,1990
BEN,1994,6096506,1598075943.86774,2.02040044761662,54.988,605.0,3.81084971731942,262.1298074450743,0.45446881657562005,1990
BEN,1995,6226773,2169627137.9207,6.04519865041564,55.366,586.0,2.136748491677043,348.43523891439435,0.4841166101825169,1990
BEN,1996,6391858,2361116449.39308,4.32428403131786,55.648,576.0,2.65121275498561,369.39438413573646,0.4943326089962095,1990
BEN,1997,6583365,2268301646.46707,5.73468837521307,55.986,556.0,2.996108486765503,344.5504914989629,0.49757829117355795,1990
BEN,1998,6789489,2455092686.34712,3.96101213832645,56.154,547.0,3.1309824079327253,361.6019830575055,0.5058693438737466,1990
BEN,1999,7002818,3677393998.74486,5.34144937204417,56.336,536.0,3.142047950884086,525.1305972459744,0.5499571679447004,1990
BEN,2000,7221619,3519991440.47913,5.85771420543269,56.594,529.0,3.1244707487757095,487.4241413842422,0.5449298218568819,2000
BEN,2001,7445596,3666222635.13875,5.33313570603937,56.654,532.0,3.1014790450728524,492.4014995090722,0.5453488957880815,2000
BEN,2002,7675426,4194342686.2178,4.64303087074482,56.851,534.0,3.0867911715865226,546.4638296581584,0.5586100767077279,2000
BEN,2003,7913070,5349258094.48239,3.44357677591658,57.092,532.0,3.096166909823639,676.0028780842821,0.5916060860721527,2000
BEN,2004,8159094,6190270380.49856,4.42968455385082,57.346,531.0,3.109084084937952,758.6958037863714,0.6131174780623078,2000
BEN,2005,8426144,6567654954.38903,1.71316456361184,57.738,514.0,3.273034971775046,779.4377777532677,0.6264490343025614,2000
BEN,2006,8693242,7034111314.88812,3.94373882815798,57.966,509.0,3.1698722452405237,809.1470725062203,0.6366274042262549,2000
BEN,2007,8953969,8169048382.83875,5.98634932177609,58.249,501.0,2.999191785987332,912.3382471883418,0.665758149893587,2000
BEN,2008,9228466,9787734526.23965,4.89657708429647,58.099,563.0,3.0656460838763167,1060.6025450209872,0.6776390732915165,2000
BEN,2009,9509423,9738626517.00319,2.31929213912838,58.258,598.0,3.04446047696334,1024.1027785811177,0.6569723451239349,2000
BEN,2010,9797484,9535345015.78355,2.11406472648392,58.387,607.0,3.029216388838729,973.2442549315264,0.6422351636138773,2010
